notes,rating,rewatched,scrapedDate,tags,title,watchedDate
,N/A,false,2025-11-29,,Little Dieter Needs to Fly,
,N/A,false,2025-11-29,,The Age of Adaline,
,N/A,false,2025-11-29,,The Grand Budapest Hotel,
,N/A,false,2025-11-29,,Swiss Army Man,
,N/A,false,2025-11-29,,Rocky,
,N/A,false,2025-11-29,,Superbad,
,N/A,false,2025-11-29,,One Flew Over the Cuckoo's Nest,
,N/A,false,2025-11-29,,Training Day,
,N/A,false,2025-11-29,,Another Round,
,N/A,false,2025-11-29,,Full Metal Jacket,
,N/A,false,2025-11-29,,Braveheart,
,N/A,false,2025-11-29,,The Lives of Others,
,N/A,false,2025-11-29,,Sink or Swim,
,N/A,false,2025-11-29,,No Country for Old Men,
,N/A,false,2025-11-29,,The Boondock Saints,
,N/A,false,2025-11-29,,Crash,
,N/A,false,2025-11-29,,Seven Psychopaths,
,N/A,false,2025-11-29,,Sicario,
,N/A,false,2025-11-29,,Manchester by the Sea,
,N/A,false,2025-11-29,,Bo Burnham: Inside,
,N/A,false,2025-11-29,,Minamata,
,N/A,false,2025-11-29,,Kimi,
,N/A,false,2025-11-29,,King Richard,
,N/A,false,2025-11-29,,Drive My Car,
,N/A,false,2025-11-29,,West Side Story,
,N/A,false,2025-11-29,,Spencer,
,N/A,false,2025-11-29,,Mass,
,N/A,false,2025-11-29,,The Unforgivable,
,N/A,false,2025-11-29,,"tick, tick... BOOM!",
,N/A,false,2025-11-29,,What's Eating Gilbert Grape,
,N/A,false,2025-11-29,,Fences,
,N/A,false,2025-11-29,,The Northman,
,N/A,false,2025-11-29,,Platoon,
,N/A,false,2025-11-29,,Lion,
,N/A,false,2025-11-29,,Upgrade,
,N/A,false,2025-11-29,,Love Hard,
,N/A,false,2025-11-29,,The Intouchables,
,N/A,false,2025-11-29,,Green Book,
,N/A,false,2025-11-29,,Morbius,
,N/A,false,2025-11-29,,The Power of the Dog,
,N/A,false,2025-11-29,,The Last Duel,
,N/A,false,2025-11-29,,Sharp Objects,
,N/A,false,2025-11-29,,Paul,
,N/A,false,2025-11-29,,A Few Good Men,
,N/A,false,2025-11-29,,The Body,
,N/A,false,2025-11-29,,Bad Education,
,N/A,false,2025-11-29,,Run,
,N/A,false,2025-11-29,,Cinderella Man,
,N/A,false,2025-11-29,,Rudy,
,N/A,false,2025-11-29,,The Last of the Mohicans,
,N/A,false,2025-11-29,,The Secret in Their Eyes,
,N/A,false,2025-11-29,,Memories of Murder,
,N/A,false,2025-11-29,,Contagion,
,N/A,false,2025-11-29,,Colour Photo,
,N/A,false,2025-11-29,,Welcome Home,
,N/A,false,2025-11-29,,Snowden,
,N/A,false,2025-11-29,,The Walk,
,N/A,false,2025-11-29,,Hot Fuzz,
,N/A,false,2025-11-29,,Stalker,
,N/A,false,2025-11-29,,The Gentlemen,
,N/A,false,2025-11-29,,22 Jump Street,
,N/A,false,2025-11-29,,Neighbors,
,N/A,false,2025-11-29,,Marriage Story,
