title,rating,watchedDate,notes,tags,rewatched
Braveheart,N/A,,,,false
The Lives of Others,N/A,,,,false
Sink or Swim,N/A,,,,false
The Boondock Saints,N/A,,,,false
Crash,N/A,,,,false
Seven Psychopaths,N/A,,,,false
Manchester by the Sea,N/A,,,,false
Bo Burnham: Inside,N/A,,,,false
Minamata,N/A,,,,false
Kimi,N/A,,,,false
King Richard,N/A,,,,false
Drive My Car,N/A,,,,false
West Side Story,N/A,,,,false
Spencer,N/A,,,,false
Mass,N/A,,,,false
The Unforgivable,N/A,,,,false
"tick, tick... BOOM!",N/A,,,,false
What's Eating Gilbert Grape,N/A,,,,false
Fences,N/A,,,,false
The Northman,N/A,,,,false
Platoon,N/A,,,,false
Lion,N/A,,,,false
Upgrade,N/A,,,,false
Love Hard,N/A,,,,false
The Intouchables,N/A,,,,false
Green Book,N/A,,,,false
The Power of the Dog,N/A,,,,false
The Last Duel,N/A,,,,false
Sharp Objects,N/A,,,,false
A Few Good Men,N/A,,,,false
The Body,N/A,,,,false
Bad Education,N/A,,,,false
Run,N/A,,,,false
Cinderella Man,N/A,,,,false
Rudy,N/A,,,,false
The Last of the Mohicans,N/A,,,,false
The Secret in Their Eyes,N/A,,,,false
Memories of Murder,N/A,,,,false
Contagion,N/A,,,,false
Colour Photo,N/A,,,,false
Welcome Home,N/A,,,,false
Snowden,N/A,,,,false
The Walk,N/A,,,,false
Hot Fuzz,N/A,,,,false
Stalker,N/A,,,,false
22 Jump Street,N/A,,,,false
Neighbors,N/A,,,,false
Marriage Story,N/A,,,,false
